1739,ch_recticle_reflex_01,CHALLENGE/NAME_NONE,CHALLENGE/RETICLE_REFLEX_01,200,90008,2500,ATTACHMENTS/REFLEX_WEST01,
1740,ch_recticle_reflex_02,CHALLENGE/NAME_NONE,CHALLENGE/RETICLE_REFLEX_02,50,90009,2500,ATTACHMENTS/REFLEX_WEST01,
1741,ch_recticle_reflex_03,CHALLENGE/NAME_NONE,CHALLENGE/RETICLE_REFLEX_03,200,90010,2500,ATTACHMENTS/REFLEX_WEST02,
1742,ch_recticle_reflex_04,CHALLENGE/NAME_NONE,CHALLENGE/RETICLE_REFLEX_04,50,90011,2500,ATTACHMENTS/REFLEX_WEST02,
1743,ch_recticle_reflex_05,CHALLENGE/NAME_NONE,CHALLENGE/RETICLE_REFLEX_05,200,90012,2500,ATTACHMENTS/REFLEX_EAST01,
1744,ch_recticle_reflex_06,CHALLENGE/NAME_NONE,CHALLENGE/RETICLE_REFLEX_06,50,90014,2500,ATTACHMENTS/REFLEX_EAST01,
1745,ch_recticle_reflex_07,CHALLENGE/NAME_NONE,CHALLENGE/RETICLE_REFLEX_07,200,90015,2500,ATTACHMENTS/REFLEX_EAST02,
1746,ch_recticle_reflex_08,CHALLENGE/NAME_NONE,CHALLENGE/RETICLE_REFLEX_08,50,90016,2500,ATTACHMENTS/REFLEX_EAST02,
1747,ch_recticle_reflex_09,CHALLENGE/NAME_NONE,CHALLENGE/RETICLE_REFLEX_09,50,90030,2500,ATTACHMENTS/REFLEX,
1748,ch_recticle_holo_01,CHALLENGE/NAME_NONE,CHALLENGE/RETICLE_HOLO_01,200,90007,2500,ATTACHMENTS/HOLO,
1749,ch_recticle_holo_02,CHALLENGE/NAME_NONE,CHALLENGE/RETICLE_HOLO_02,50,90013,2500,ATTACHMENTS/HOLO,
1750,ch_recticle_holo_03,CHALLENGE/NAME_NONE,CHALLENGE/RETICLE_HOLO_03,200,90017,2500,ATTACHMENTS/HOLO_EAST01,
1751,ch_recticle_holo_04,CHALLENGE/NAME_NONE,CHALLENGE/RETICLE_HOLO_04,50,90018,2500,ATTACHMENTS/HOLO_EAST01,
1752,ch_recticle_holo_05,CHALLENGE/NAME_NONE,CHALLENGE/RETICLE_HOLO_05,200,90019,2500,ATTACHMENTS/HOLO_WEST02,
1753,ch_recticle_holo_06,CHALLENGE/NAME_NONE,CHALLENGE/RETICLE_HOLO_06,50,90029,2500,ATTACHMENTS/HOLO_WEST02,
1754,ch_recticle_holo_07,CHALLENGE/NAME_NONE,CHALLENGE/RETICLE_HOLO_07,200,90031,2500,ATTACHMENTS/HOLO_GENERIC,
1755,ch_recticle_holo_08,CHALLENGE/NAME_NONE,CHALLENGE/RETICLE_HOLO_08,50,90032,2500,ATTACHMENTS/HOLO_GENERIC,
1756,ch_recticle_acog_01,CHALLENGE/NAME_NONE,CHALLENGE/RETICLE_ACOG_01,200,90020,2500,ATTACHMENTS/FOURX,
1757,ch_recticle_acog_02,CHALLENGE/NAME_NONE,CHALLENGE/RETICLE_ACOG_02,50,90021,2500,ATTACHMENTS/FOURX,
1758,ch_recticle_acog_03,CHALLENGE/NAME_NONE,CHALLENGE/RETICLE_ACOG_03,200,90022,2500,ATTACHMENTS/FOURX2,
1759,ch_recticle_acog_04,CHALLENGE/NAME_NONE,CHALLENGE/RETICLE_ACOG_04,50,90023,2500,ATTACHMENTS/FOURX2,
1760,ch_recticle_acog_05,CHALLENGE/NAME_NONE,CHALLENGE/RETICLE_ACOG_05,200,90024,2500,ATTACHMENTS/FOURX3,
1761,ch_recticle_acog_06,CHALLENGE/NAME_NONE,CHALLENGE/RETICLE_ACOG_06,50,90027,2500,ATTACHMENTS/FOURX3,
1762,ch_recticle_acog_07,CHALLENGE/NAME_NONE,CHALLENGE/RETICLE_ACOG_07,50,90028,2500,ATTACHMENTS/ACOG_GENERIC,
