382,ch_elder1_ar_kills,CHALLENGE/ELDER1_ARKILLS,CHALLENGE/AR_KILLS,150,,2500,
1355,ch_elder1_killer,CHALLENGE/ELDER1_KILLER,CHALLENGE/ELDER1_KILLER_DESC,35,,650,
1356,ch_elder1_tdmw,CHALLENGE/ELDER1_TDMW,CHALLENGE/ELDER1_TDMW_DESC,15,,6250,
1357,ch_elder1_frag,CHALLENGE/ELDER1_FRAG,CHALLENGE/ELDER1_FRAG_DESC,5,,650,
1358,ch_elder1_revenge,CHALLENGE/ELDER1_REVENGE,CHALLENGE/ELDER1_REVENGE_DESC,75,,6250,
1359,ch_elder1_damage,CHALLENGE/ELDER1_TUNE_UP,CHALLENGE/ELDER1_TUNE_UP_DESC,30,,1250,
1360,ch_elder1_uav,CHALLENGE/ELDER1_UAV,CHALLENGE/ELDER1_UAV_DESC,5,,650,
1361,ch_elder1_smghs,CHALLENGE/ELDER1_SMGHS,CHALLENGE/ELDER1_SMGHS_DESC,75,,6250,
1362,ch_elder1_shrapnel,CHALLENGE/ELDER1_SHRAPNEL,CHALLENGE/ELDER1_SHRAPNEL_DESC,30,,3750,
1363,ch_elder1_flash,CHALLENGE/ELDER1_FLASH,CHALLENGE/ELDER1_FLASH_DESC,10,,650,
1364,ch_elder1_playa,CHALLENGE/ELDER1_PLAYA,CHALLENGE/ELDER1_PLAYA_DESC,30,,6250,
1365,ch_elder1_carepkg,CHALLENGE/ELDER1_CAREPKG,CHALLENGE/ELDER1_CAREPKG_DESC,30,,2500,
1366,ch_elder1_lmgkills,CHALLENGE/ELDER1_LMGKILLS,CHALLENGE/ELDER1_LMGKILLS_DESC,35,,650,
1367,ch_elder1_domw,CHALLENGE/ELDER1_DOMW,CHALLENGE/ELDER1_DOMW_DESC,15,,6250,
1368,ch_elder1_snack,CHALLENGE/ELDER1_SNACK,CHALLENGE/ELDER1_SNACK_DESC,3,,1250,
1369,ch_elder1_revenant,CHALLENGE/ELDER1_REVENANT,CHALLENGE/ELDER1_REVENANT_DESC,15,,650,
1370,ch_elder1_claymore,CHALLENGE/ELDER1_CLAYMORE,CHALLENGE/ELDER1_CLAYMORE_DESC,80,,6250,
1371,ch_elder1_kscruise,CHALLENGE/ELDER1_KSCRUISE,CHALLENGE/ELDER1_KSCRUISE_DESC,3,,650,
1372,ch_elder1_ghost,CHALLENGE/ELDER1_GHOST,CHALLENGE/ELDER1_GHOST_DESC,125,,5000,
1373,ch_elder1_hs,CHALLENGE/ELDER1_HS,CHALLENGE/ELDER1_HS_DESC,30,,2500,
1374,ch_elder1_deadsilence,CHALLENGE/ELDER1_DEADSILENCE,CHALLENGE/ELDER1_DEADSILENCE_DESC,5,,650,
1375,ch_elder1_sniperhs,CHALLENGE/ELDER1_SNIPERHS,CHALLENGE/ELDER1_SNIPERHS_DESC,50,,6250,
1376,ch_elder1_hqw,CHALLENGE/ELDER1_HQW,CHALLENGE/ELDER1_HQW_DESC,3,,1250,
1377,ch_elder1_kingslay,CHALLENGE/ELDER1_KINGSLAY,CHALLENGE/ELDER1_KINGSLAY_DESC,2,,650,
1378,ch_elder1_pubwin,CHALLENGE/ELDER1_PUBWIN,CHALLENGE/ELDER1_PUBWIN_DESC,10,,5000,
1379,ch_elder1_concussion,CHALLENGE/ELDER1_CONCUSSION,CHALLENGE/ELDER1_CONCUSSION_DESC,60,,3750,
1380,ch_elder1_pistol,CHALLENGE/ELDER1_PISTOL,CHALLENGE/ELDER1_PISTOL_DESC,25,,650,
1381,ch_elder1_airstrike,CHALLENGE/ELDER1_AIRSTRIKE,CHALLENGE/ELDER1_AIRSTRIKE_DESC,60,,5000,
1382,ch_elder1_munitions,CHALLENGE/ELDER1_MUNITIONS,CHALLENGE/ELDER1_MUNITIONS_DESC,150,,2500,
1383,ch_elder1_killstreaks,CHALLENGE/ELDER1_KILLSTREAKS,CHALLENGE/ELDER1_KILLSTREAKS_DESC,10,,650,
1384,ch_elder1_trophy,CHALLENGE/ELDER1_TROPHY,CHALLENGE/ELDER1_TROPHY_DESC,75,,5000,
1385,ch_elder1_vehicledestroy,CHALLENGE/ELDER1_VEHICLEDESTROY,CHALLENGE/ELDER1_VEHICLEDESTROY_DESC,10,,1250,
1386,ch_elder1_cluster,CHALLENGE/ELDER1_CLUSTER,CHALLENGE/ELDER1_CLUSTER_DESC,5,,650,
1387,ch_elder1_focused,CHALLENGE/ELDER1_FOCUSED,CHALLENGE/ELDER1_FOCUSED_DESC,15,,5000,
1388,ch_elder1_equipment,CHALLENGE/ELDER1_EQUIPMENT,CHALLENGE/ELDER1_EQUIPMENT_DESC,30,,3750,
1389,ch_elder1_sndw,CHALLENGE/ELDER1_SNDW,CHALLENGE/ELDER1_SNDW_DESC,1,,650,
1390,ch_elder1_arhs,CHALLENGE/ELDER1_ARHS,CHALLENGE/ELDER1_ARHS_DESC,50,,5000,
1391,ch_elder1_thermite,CHALLENGE/ELDER1_THERMITE,CHALLENGE/ELDER1_THERMITE_DESC,20,,2500,
1392,ch_elder1_ksdestroy,CHALLENGE/ELDER1_KSDESTROY,CHALLENGE/ELDER1_KSDESTROY_DESC,10,,650,
1393,ch_elder1_secondary,CHALLENGE/ELDER1_SECONDARY,CHALLENGE/ELDER1_SECONDARY_DESC,150,,3750,
1394,ch_elder1_shieldturret,CHALLENGE/ELDER1_SHIELDTURRET,CHALLENGE/ELDER1_SHIELDTURRET_DESC,40,,2500,
1395,ch_elder1_smg,CHALLENGE/ELDER1_SMG,CHALLENGE/ELDER1_SMG_DESC,35,,650,
1396,ch_elder1_ammodrop,CHALLENGE/ELDER1_AMMODROP,CHALLENGE/ELDER1_AMMODROP_DESC,50,,3750,
1397,ch_elder1_nosebreaker,CHALLENGE/ELDER1_NOSEBREAKER,CHALLENGE/ELDER1_NOSEBREAKER_DESC,15,,1250,
1398,ch_elder1_assists,CHALLENGE/ELDER1_ASSISTS,CHALLENGE/ELDER1_ASSISTS_DESC,10,,650,
1399,ch_elder1_supportkskill,CHALLENGE/ELDER1_SUPPORTKSKILL,CHALLENGE/ELDER1_SUPPORTKSKILL_DESC,50,,3750,
1400,ch_elder1_lmghs,CHALLENGE/ELDER1_LMGHS,CHALLENGE/ELDER1_LMGHS_DESC,30,,2500,
1401,ch_elder1_smoke,CHALLENGE/ELDER1_SMOKE,CHALLENGE/ELDER1_SMOKE_DESC,5,,650,
1402,ch_elder1_gunfightw,CHALLENGE/ELDER1_GUNFIGHTW,CHALLENGE/ELDER1_GUNFIGHTW_DESC,10,,3750,
1403,ch_elder1_killstreakuse,CHALLENGE/ELDER1_KILLSTREAKUSE,CHALLENGE/ELDER1_KILLSTREAKUSE_DESC,30,,1250,
1404,ch_elder1_crouch,CHALLENGE/ELDER1_CROUCH,CHALLENGE/ELDER1_CROUCH_DESC,20,,650,
