55000,ch_br_season_2_week_1_1,CHALLENGE/BR_DAILY_IN_CHARGE_OF_THE_YARD,CHALLENGE/BR_DAILY_IN_CHARGE_OF_THE_YARD_DESC,3,2500,,1581444000,1586239200,2,,
55001,ch_br_season_2_week_1_2,CHALLENGE/BR_DAILY_MISSION_FOCUSED,CHALLENGE/BR_DAILY_MISSION_FOCUSED_DESC,9,2500,,1581444000,1586239200,2,,
55002,ch_br_season_2_week_1_3,CHALLENGE/BR_DAILY_SURVIVOR,CHALLENGE/BR_DAILY_SURVIVOR_DESC,60,2500,,1581444000,1586239200,2,min,
55003,ch_br_season_2_week_1_4,CHALLENGE/BR_DAILY_HOMMICIDAL_VEHICLE,CHALLENGE/BR_DAILY_HOMMICIDAL_VEHICLE_DESC,6,2500,,1581444000,1586239200,2,,
55004,ch_br_season_2_week_1_5,CHALLENGE/BR_DAILY_ARMS_DEALER,CHALLENGE/BR_DAILY_ARMS_DEALER_DESC,5,5000,,1581444000,1586239200,2,,
55005,ch_br_season_2_week_1_6,CHALLENGE/BR_DAILY_CAREGIVER,CHALLENGE/BR_DAILY_CAREGIVER_DESC,5,5000,,1581444000,1586239200,2,,
55006,ch_br_season_2_week_1_7,CHALLENGE/BR_DAILY_EXTERMINATE_WITH_EPICS,CHALLENGE/BR_DAILY_EXTERMINATE_WITH_EPICS_DESC,9,5000,,1581444000,1586239200,2,,
55007,ch_br_season_2_week_1_8,CHALLENGE/BR_DAILY_BEST_OF_THE_BEST,CHALLENGE/BR_DAILY_BEST_OF_THE_BEST_DESC,3,5000,,1581444000,1586239200,2,,
55008,ch_br_season_2_week_1_9,CHALLENGE/BR_DAILY_AMMO_DEALER,CHALLENGE/BR_DAILY_AMMO_DEALER_DESC,9,10000,,1581444000,1586239200,2,,
55009,ch_br_season_2_week_1_10,CHALLENGE/BR_DAILY_VEHICULAR_HOMMICIDE,CHALLENGE/BR_DAILY_VEHICULAR_HOMMICIDE_DESC,5,10000,,1581444000,1586239200,2,,
55010,ch_br_season_2_week_2_1,CHALLENGE/BR_DAILY_HAZARDOUS_WORK_ENVIRONMENT,CHALLENGE/BR_DAILY_HAZARDOUS_WORK_ENVIRONMENT_DESC,5,2500,,1582048800,1586239200,2,sec,
55011,ch_br_season_2_week_2_2,CHALLENGE/BR_DAILY_BOUNCEBACKALICIOUS,CHALLENGE/BR_DAILY_BOUNCEBACKALICIOUS_DESC,6,2500,,1582048800,1586239200,2,,
55012,ch_br_season_2_week_2_3,CHALLENGE/BR_DAILY_LETHAL_WITH_LEGENDARIES,CHALLENGE/BR_DAILY_LETHAL_WITH_LEGENDARIES_DESC,6,2500,,1582048800,1586239200,2,,
55013,ch_br_season_2_week_2_4,CHALLENGE/BR_DAILY_TAKING_INITIATIVE,CHALLENGE/BR_DAILY_TAKING_INITIATIVE_DESC,3,2500,,1582048800,1586239200,2,,
55014,ch_br_season_2_week_2_5,CHALLENGE/BR_DAILY_DISCRIMINATING_TASTES,CHALLENGE/BR_DAILY_DISCRIMINATING_TASTES_DESC,3,5000,,1582048800,1586239200,2,,
55015,ch_br_season_2_week_2_6,CHALLENGE/BR_DAILY_WELL_PROTECTED,CHALLENGE/BR_DAILY_WELL_PROTECTED_DESC,18,5000,,1582048800,1586239200,2,,
55016,ch_br_season_2_week_2_7,CHALLENGE/BR_DAILY_UNKILLABLE,CHALLENGE/BR_DAILY_UNKILLABLE_DESC,3,5000,,1582048800,1586239200,2,,
55017,ch_br_season_2_week_2_8,CHALLENGE/BR_DAILY_PHILANTHROPIST,CHALLENGE/BR_DAILY_PHILANTHROPIST_DESC,6,5000,,1582048800,1586239200,2,,
55018,ch_br_season_2_week_2_9,CHALLENGE/BR_DAILY_TREASURE_HUNTER,CHALLENGE/BR_DAILY_TREASURE_HUNTER_DESC,30,10000,,1582048800,1586239200,2,,
55019,ch_br_season_2_week_2_10,CHALLENGE/BR_DAILY_THE_BIGGEST_BOOMS,CHALLENGE/BR_DAILY_THE_BIGGEST_BOOMS_DESC,6,10000,,1582048800,1586239200,2,,
55020,ch_br_season_2_week_3_1,CHALLENGE/BR_DAILY_DISCRIMINATING_TASTES,CHALLENGE/BR_DAILY_DISCRIMINATING_TASTES_DESC,3,2500,,1582653600,1586239200,2,,
55021,ch_br_season_2_week_3_2,CHALLENGE/BR_DAILY_CAREGIVER,CHALLENGE/BR_DAILY_CAREGIVER_DESC,5,2500,,1582653600,1586239200,2,,
55022,ch_br_season_2_week_3_3,CHALLENGE/BR_DAILY_SURVIVOR,CHALLENGE/BR_DAILY_SURVIVOR_DESC,60,2500,,1582653600,1586239200,2,min,
55023,ch_br_season_2_week_3_4,CHALLENGE/BR_DAILY_LETHAL_WITH_LEGENDARIES,CHALLENGE/BR_DAILY_LETHAL_WITH_LEGENDARIES_DESC,6,2500,,1582653600,1586239200,2,,
55024,ch_br_season_2_week_3_5,CHALLENGE/BR_DAILY_THE_BIGGEST_BOOMS,CHALLENGE/BR_DAILY_THE_BIGGEST_BOOMS_DESC,6,5000,,1582653600,1586239200,2,,
55025,ch_br_season_2_week_3_6,CHALLENGE/BR_DAILY_AMMO_DEALER,CHALLENGE/BR_DAILY_AMMO_DEALER_DESC,9,5000,,1582653600,1586239200,2,,
55026,ch_br_season_2_week_3_7,CHALLENGE/BR_DAILY_BOUNCEBACKALICIOUS,CHALLENGE/BR_DAILY_BOUNCEBACKALICIOUS_DESC,6,5000,,1582653600,1586239200,2,,
55027,ch_br_season_2_week_3_8,CHALLENGE/BR_DAILY_BEST_OF_THE_BEST,CHALLENGE/BR_DAILY_BEST_OF_THE_BEST_DESC,3,5000,,1582653600,1586239200,2,,
