9000,ch_gununlock_crossbow,CHALLENGE/NAME_NONE,CHALLENGE/GUN_UNLOCK_CROSSBOW,25,0,33,
9001,ch_gununlock_holger,CHALLENGE/NAME_NONE,CHALLENGE/GUN_UNLOCK_HOLGER,25,0,210,
9002,ch_gununlock_tango,CHALLENGE/NAME_NONE,CHALLENGE/GUN_UNLOCK_TANGO,25,0,205,
9004,ch_gununlock_mike26,CHALLENGE/NAME_NONE,CHALLENGE/GUN_UNLOCK_MIKE26,15,0,340,
9005,ch_gununlock_smgolf45,CHALLENGE/NAME_NONE,CHALLENGE/GUN_UNLOCK_SMGOLF45,15,0,234,
9006,ch_gununlock_sierra552,CHALLENGE/NAME_NONE,CHALLENGE/GUN_UNLOCK_SIERRA552,25,0,346,
9119,ch_gununlock_mkilo3,CHALLENGE/NAME_NONE,CHALLENGE/GUN_UNLOCK_MKILO3,15,0,546,
10224,ch_gununlock_mike9,CHALLENGE/NAME_NONE,CHALLENGE/GUN_UNLOCK_MIKE9,15,0,430,
10225,ch_gununlock_sksierra,CHALLENGE/NAME_NONE,CHALLENGE/GUN_UNLOCK_SKSIERRA,15,0,536,
10226,ch_gununlock_kalisticks,CHALLENGE/NAME_NONE,CHALLENGE/GUN_UNLOCK_KALISTICKS,15,0,714,
10227,ch_gununlock_kaliblades,CHALLENGE/NAME_NONE,CHALLENGE/GUN_UNLOCK_KALIBLADES,15,0,709,
9121,ch_gununlock_xmike109,CHALLENGE/NAME_NONE,CHALLENGE/GUN_UNLOCK_XMIKE109,15,0,894,
9136,ch_gununlock_sm_victor,CHALLENGE/NAME_NONE,CHALLENGE/GUN_UNLOCK_SM_VICTOR,10,0,631,
9137,ch_gununlock_ar_galima,CHALLENGE/NAME_NONE,CHALLENGE/GUN_UNLOCK_AR_GALIMA,10,0,626,
