0,iw8_me_riotshield_variant_0,iw8_me_riotshield,,,,,,,,,,,,,,,WEAPON/ME_RIOTSHIELD,ui_loot_weapon_me_riotshield,,,,,,
1,iw8_me_riotshield_variant_1,iw8_me_riotshield,iw8_me_riotshield_mpv2,,,,,,,,,,,,,,WEAPON/ME_RIOTSHIELD_V2,ui_loot_weapon_me_riotshield_v2,icon_weapon_me_riotshield_v2,,,iw8_me_riotshield_mpv2_frontend,iw8_me_riotshield_mpv2_frontend_sorting,
2,iw8_me_riotshield_variant_2,iw8_me_riotshield,iw8_me_riotshield_mpv3,,,,,,,,,,,,,,WEAPON/ME_RIOTSHIELD_V3,ui_loot_weapon_me_riotshield_v3,icon_weapon_me_riotshield_v3,,,iw8_me_riotshield_mpv3_frontend,iw8_me_riotshield_mpv3_frontend_sorting,
3,iw8_me_riotshield_variant_3,iw8_me_riotshield,iw8_me_riotshield_mpv4,,,,,,,,,,,,,,WEAPON/ME_RIOTSHIELD_V4,ui_loot_weapon_me_riotshield_v4,icon_weapon_me_riotshield_v4,,,iw8_me_riotshield_mpv4_frontend,iw8_me_riotshield_mpv4_frontend_sorting,
4,iw8_me_riotshield_variant_4,iw8_me_riotshield,iw8_me_riotshield_mpv5,,,,,,,,,,,,,,WEAPON/ME_RIOTSHIELD_V5,ui_loot_weapon_me_riotshield_v5,icon_weapon_me_riotshield_v5,,,iw8_me_riotshield_mpv5_frontend,iw8_me_riotshield_mpv5_frontend_sorting,
5,iw8_me_riotshield_variant_5,iw8_me_riotshield,iw8_me_riotshield_mpv6,,,,,,,,,,,,,,WEAPON/ME_RIOTSHIELD_V6,ui_loot_weapon_me_riotshield_v6,icon_weapon_me_riotshield_v6,,,iw8_me_riotshield_mpv6_frontend,iw8_me_riotshield_mpv6_frontend_sorting,
6,iw8_me_riotshield_variant_6,iw8_me_riotshield,iw8_me_riotshield_mpv7,,,,,,,,,,,,,,WEAPON/ME_RIOTSHIELD_V7,ui_loot_weapon_me_riotshield_v7,icon_weapon_me_riotshield_v7,,,iw8_me_riotshield_mpv7_frontend,iw8_me_riotshield_mpv7_frontend_sorting,
7,iw8_me_riotshield_variant_7,iw8_me_riotshield,iw8_me_riotshield_mpv8,,,,,,,,,,,,,,WEAPON/ME_RIOTSHIELD_V8,ui_loot_weapon_me_riotshield_v8,icon_weapon_me_riotshield,,,iw8_me_riotshield_mpv8_frontend,iw8_me_riotshield_mpv8_frontend_sorting,
8,iw8_me_riotshield_variant_8,iw8_me_riotshield,,,,,,,,,,,,,,,WEAPON/ME_RIOTSHIELD_V9,ui_loot_weapon_me_riotshield_v9,icon_weapon_me_riotshield,,,,,
9,iw8_me_riotshield_variant_9,iw8_me_riotshield,,,,,,,,,,,,,,,WEAPON/ME_RIOTSHIELD_V10,ui_loot_weapon_me_riotshield_v10,icon_weapon_me_riotshield,,,,,
10,iw8_me_riotshield_variant_10,iw8_me_riotshield,,,,,,,,,,,,,,,WEAPON/ME_RIOTSHIELD_V11,ui_loot_weapon_me_riotshield_v11,icon_weapon_me_riotshield,,,,,
11,iw8_me_riotshield_variant_11,iw8_me_riotshield,,,,,,,,,,,,,,,WEAPON/ME_RIOTSHIELD_V12,ui_loot_weapon_me_riotshield_v12,icon_weapon_me_riotshield,,,,,
