0,iw8_sn_sksierra_variant_0,iw8_sn_sksierra,,,,,,,,,,,,,,,WEAPON/SN_SKSIERRA,ui_loot_weapon_sn_sksierra,
1,iw8_sn_sksierra_variant_1,iw8_sn_sksierra,,rec|1 front|1 reargrip|1 mag|1,,barmid|1,laserbalanced|12,,scope|1,smags|1,pistolgrip06|1,,,,,,WEAPON/SN_SKSIERRA_V2,ui_loot_weapon_sn_sksierra_v2,
2,iw8_sn_sksierra_variant_2,iw8_sn_sksierra,,rec|2 front|2 reargrip|2 mag|2,brake|3,barlong|1,,gripang|7,vzscope|2,,pistolgrip04|1,,,,,,WEAPON/SN_SKSIERRA_V3,ui_loot_weapon_sn_sksierra_v3,
3,iw8_sn_sksierra_variant_3,iw8_sn_sksierra,,rec|3 front|3 reargrip|3 mag|3,,barshort|1,laserbalanced|13,,,smags|2,pistolgrip03|1,,fastreload,,,,WEAPON/SN_SKSIERRA_V4,ui_loot_weapon_sn_sksierra_v4,
4,iw8_sn_sksierra_variant_4,iw8_sn_sksierra,,rec|4 front|4 reargrip|4 mag|4,silencer3|7,barshort|2,laserbalanced|14,gripang|5,reflex3|13,,,,,,,,WEAPON/SN_SKSIERRA_V5,ui_loot_weapon_sn_sksierra_v5,
5,iw8_sn_sksierra_variant_5,iw8_sn_sksierra,,rec|5 front|5 reargrip|5 mag|5,brake|1,,,gripang|6,reflexmini|7,,,,,,,,WEAPON/SN_SKSIERRA_V6,ui_loot_weapon_sn_sksierra_v6,
6,iw8_sn_sksierra_variant_6,iw8_sn_sksierra,,rec|6 front|6 reargrip|6 mag|6,,,,gripang|8,scope|3,,pistolgrip04|3,,,,,,WEAPON/SN_SKSIERRA_V7,ui_loot_weapon_sn_sksierra_v7,
7,iw8_sn_sksierra_variant_7,iw8_sn_sksierra,,rec|7 front|7 reargrip|7 mag|7,,barlong|2,,,scope|2,smags|3,pistolgrip04|2,,maxammo,,,,WEAPON/SN_SKSIERRA_V8,ui_loot_weapon_sn_sksierra_v8,
8,iw8_sn_sksierra_variant_8,iw8_sn_sksierra,,rec|8 front|8 reargrip|8 mag|8,comp|2,barlong|3,,gripcust|3,acog2|7,xmags|1,,,,,,,WEAPON/SN_SKSIERRA_V9,ui_loot_weapon_sn_sksierra_v9,
9,iw8_sn_sksierra_variant_9,iw8_sn_sksierra,,rec|9 front|9 reargrip|9 mag|9,silencer3|10,,laserbalanced|4,gripvertpro|15,hybrid3|6,,pistolgrip04|4,,,,,,WEAPON/SN_SKSIERRA_V10,ui_loot_weapon_sn_sksierra_v10,
10,iw8_sn_sksierra_variant_10,iw8_sn_sksierra,,rec|10 front|10 reargrip|10 mag|10,,,,gripang|9,holo2|13,xmags|2,pistolgrip06|2,,,,,,WEAPON/SN_SKSIERRA_V11,ui_loot_weapon_sn_sksierra_v11,
11,iw8_sn_sksierra_variant_11,iw8_sn_sksierra,,rec|0 front|0 reargrip|0 mag|0,,,,,,,,,,,,,WEAPON/SN_SKSIERRA_V12,ui_loot_weapon_sn_sksierra_v12,
12,iw8_sn_sksierra_variant_12,iw8_sn_sksierra,,rec|0 front|0 reargrip|0 mag|0,,,,,,,,,,,,,WEAPON/SN_SKSIERRA_V13,ui_loot_weapon_sn_sksierra_v13,
13,iw8_sn_sksierra_variant_13,iw8_sn_sksierra,,rec|0 front|0 reargrip|0 mag|0,,,,,,,,,,,,,WEAPON/SN_SKSIERRA_V14,ui_loot_weapon_sn_sksierra_v14,
14,iw8_sn_sksierra_variant_14,iw8_sn_sksierra,,rec|0 front|0 reargrip|0 mag|0,,,,,,,,,,,,,WEAPON/SN_SKSIERRA_V15,ui_loot_weapon_sn_sksierra_v15,
15,iw8_sn_sksierra_variant_15,iw8_sn_sksierra,,rec|0 front|0 reargrip|0 mag|0,,,,,,,,,,,,,WEAPON/SN_SKSIERRA_V16,ui_loot_weapon_sn_sksierra_v16,
