0,iw8_sn_sbeta_variant_0,iw8_sn_sbeta,,,,,,,,,,,,,,,WEAPON/SN_SBETA,ui_loot_weapon_sn_sbeta,,,,
1,iw8_sn_sbeta_variant_1,iw8_sn_sbeta,iw8_sn_sbeta_mpv2,rec|1 front|1 reargrip|1,,barshort|1,laserbalanced|1,,vzscope|1,,,,gunperk_marksman,,,,WEAPON/SN_SBETA_V2,ui_loot_weapon_sn_sbeta_v2,,,,
2,iw8_sn_sbeta_variant_2,iw8_sn_sbeta,,rec|2 front|2 reargrip|2,,,,,acog|6,,pistolgrip01|2,stockl|3,fastreload,,,,WEAPON/SN_SBETA_V3,ui_loot_weapon_sn_sbeta_v3,,,,
3,iw8_sn_sbeta_variant_3,iw8_sn_sbeta,,rec|3 reargrip|3,,barlong|1,,,,,,stockcust|1,ammomod_wound,,,,WEAPON/SN_SBETA_V4,ui_loot_weapon_sn_sbeta_v4,,,,
4,iw8_sn_sbeta_variant_4,iw8_sn_sbeta,,rec|4 reargrip|4,,barlong|2,,,scope|1,,,,gunperk_xp,,,,WEAPON/SN_SBETA_V5,ui_loot_weapon_sn_sbeta_v5,,,,
5,iw8_sn_sbeta_variant_5,iw8_sn_sbeta,,rec|5 front|5 reargrip|5,,,laserbalanced|10,,holo2|9,,,stocks|2,,,,,WEAPON/SN_SBETA_V6,ui_loot_weapon_sn_sbeta_v6,,,,
6,iw8_sn_sbeta_variant_6,iw8_sn_sbeta,,rec|6,,barmid|2,,,thermal|1,,pistolgrip02|2,stockcust|2,fastreload,,,,WEAPON/SN_SBETA_V7,ui_loot_weapon_sn_sbeta_v7,,,,
7,iw8_sn_sbeta_variant_7,iw8_sn_sbeta,,rec|7,,barmid|3,,,,,pistolgrip02|4,stockl|2,fastreload,,,,WEAPON/SN_SBETA_V8,ui_loot_weapon_sn_sbeta_v8,,,,
8,iw8_sn_sbeta_variant_8,iw8_sn_sbeta,iw8_sn_sbeta_mpv2,rec|8 reargrip|8,comp|1,,,,reflex3|8,,pistolgrip03|1,stockh|2,fastreload,,,,WEAPON/SN_SBETA_V9,ui_loot_weapon_sn_sbeta_v9,,,,
9,iw8_sn_sbeta_variant_9,iw8_sn_sbeta,,rec|9 reargrip|9,silencer3|12,barshort|2,laserbalanced|7,,reflexmini3|5,,pistolgrip01|3,,,,,,WEAPON/SN_SBETA_V10,ui_loot_weapon_sn_sbeta_v10,,,,
10,iw8_sn_sbeta_variant_10,iw8_sn_sbeta,iw8_sn_sbeta_mpdmb,rec|10,,,laserbalanced|3,,hybrid3|2,,pistolgrip02|3,stockcust|3,fastreload,,,,WEAPON/SN_SBETA_V11,ui_loot_weapon_sn_sbeta_v11,,,standardDis,
11,iw8_sn_sbeta_variant_11,iw8_sn_sbeta,iw8_sn_sbeta_mpv2,rec|11 front|11 reargrip|11,silencer3|13,,laserbalanced|8,,scope|2,,,,fastreload,,,,WEAPON/SN_SBETA_V12,ui_loot_weapon_sn_sbeta_v12,,,,
12,iw8_sn_sbeta_variant_12,iw8_sn_sbeta,iw8_sn_sbeta_mpv2,rec|12 front|12 reargrip|12,,,laserbalanced|11,,reflexmini2|8,,pistolgrip02|5,stockh|3,,,,,WEAPON/SN_SBETA_V13,ui_loot_weapon_sn_sbeta_v13,,,,
13,iw8_sn_sbeta_variant_13,iw8_sn_sbeta,iw8_sn_sbeta_mpv2,rec|13 reargrip|13,silencer|5,barshort|3,,,reflexmini3|7,,,stocks|3,,,,,WEAPON/SN_SBETA_V14,ui_loot_weapon_sn_sbeta_v14,,,,
14,iw8_sn_sbeta_variant_14,iw8_sn_sbeta,iw8_sn_sbeta_mpv2,rec|14 front|14,silencer3|1,barlong|4,laserbalanced|2,,scope|3,,,stockcust|4,,,,,WEAPON/SN_SBETA_V15,ui_loot_weapon_sn_sbeta_v15,,,,
15,iw8_sn_sbeta_variant_15,iw8_sn_sbeta,,rec|15 front|15 reargrip|15,brake|3,barlong|5,,,,,,stockh|7,,,,,WEAPON/SN_SBETA_V16,ui_loot_weapon_sn_sbeta_v16,,,,
16,iw8_sn_sbeta_variant_16,iw8_sn_sbeta,iw8_sn_sbeta_mpv2a,rec|0 front|0 reargrip|0,brake|1,,laserbalanced|5,,vzscope|2,,,stockh|4,,,,,WEAPON/SN_SBETA_V17,ui_loot_weapon_sn_sbeta_v17,,,,
17,iw8_sn_sbeta_variant_17,iw8_sn_sbeta,iw8_sn_sbeta_mpmtx,rec|1 front|1 reargrip|1,,barlong|3,,,reflex2|13,,pistolgrip02|6,stockh|5,fastreload,,,,WEAPON/SN_SBETA_V18,ui_loot_weapon_sn_sbeta_v18,,morte,standardDis,
18,iw8_sn_sbeta_variant_18,iw8_sn_sbeta,iw8_sn_sbeta_mpa,rec|2 front|2 reargrip|2,brake|2,,laserbalanced|6,,reflex|12,,,stockh|6,,,,,WEAPON/SN_SBETA_V19,ui_loot_weapon_sn_sbeta_v19,,,,
19,iw8_sn_sbeta_variant_19,iw8_sn_sbeta,iw8_sn_sbeta_mpa,rec|0 front|0 reargrip|0,,,,,,,,,,,,,WEAPON/SN_SBETA_V20,ui_loot_weapon_sn_sbeta_v20,,,,
20,iw8_sn_sbeta_variant_20,iw8_sn_sbeta,iw8_sn_sbeta_mpa,rec|0 front|0 reargrip|0,,,,,,,,,,,,,WEAPON/SN_SBETA_V21,ui_loot_weapon_sn_sbeta_v21,,,,
21,iw8_sn_sbeta_variant_21,iw8_sn_sbeta,iw8_sn_sbeta_mpa,rec|0 front|0 reargrip|0,,,,,,,,,,,,,WEAPON/SN_SBETA_V22,ui_loot_weapon_sn_sbeta_v22,,,,
22,iw8_sn_sbeta_variant_22,iw8_sn_sbeta,iw8_sn_sbeta_mpa,rec|0 front|0 reargrip|0,,,,,,,,,,,,,WEAPON/SN_SBETA_V23,ui_loot_weapon_sn_sbeta_v23,,,,
23,iw8_sn_sbeta_variant_23,iw8_sn_sbeta,iw8_sn_sbeta_mpa,rec|0 front|0 reargrip|0,,,,,,,,,,,,,WEAPON/SN_SBETA_V24,ui_loot_weapon_sn_sbeta_v24,,,,
