Name,Secondary,FileSpec,
mount_enter_side_lima86_vestlight_plr,,foley\mount\mount_enter_side_lima86_vestlight_plr.LN.75.44100.all,
mount_enter_top_lima86_vestlight_plr,,foley\mount\mount_enter_top_lima86_vestlight_plr.LN.75.44100.all,
mount_exit_side_lima86_vestlight_plr,,foley\mount\mount_exit_side_lima86_vestlight_plr.LN.75.44100.all,
mount_exit_top_lima86_vestlight_plr,,foley\mount\mount_exit_top_lima86_vestlight_plr.LN.75.44100.all,
weap_lima86_disconnector_plr,,weapons\iw8_lima86\weap_lima86_disconnector_plr_01.LN.85.44100.all,
weap_lima86_disconnector_plr,,weapons\iw8_lima86\weap_lima86_disconnector_plr_02.LN.85.44100.all,
weap_lima86_disconnector_plr,,weapons\iw8_lima86\weap_lima86_disconnector_plr_03.LN.85.44100.all,
weap_lima86_disconnector_plr,,weapons\iw8_lima86\weap_lima86_disconnector_plr_04.LN.85.44100.all,
weap_lima86_disconnector_plr,,weapons\iw8_lima86\weap_lima86_disconnector_plr_05.LN.85.44100.all,
weap_lima86_disconnector_plr,,weapons\iw8_lima86\weap_lima86_disconnector_plr_06.LN.85.44100.all,
weap_lima86_disconnector_plr,,weapons\iw8_lima86\weap_lima86_disconnector_plr_ads_01.LN.85.44100.all,
weap_lima86_disconnector_plr,,weapons\iw8_lima86\weap_lima86_disconnector_plr_ads_02.LN.85.44100.all,
weap_lima86_disconnector_plr,,weapons\iw8_lima86\weap_lima86_disconnector_plr_ads_03.LN.85.44100.all,
weap_lima86_disconnector_plr,,weapons\iw8_lima86\weap_lima86_disconnector_plr_ads_04.LN.85.44100.all,
weap_lima86_disconnector_plr,,weapons\iw8_lima86\weap_lima86_disconnector_plr_ads_05.LN.85.44100.all,
weap_lima86_disconnector_plr,,weapons\iw8_lima86\weap_lima86_disconnector_plr_ads_06.LN.85.44100.all,
weap_lima86_dryfire_plr,,weapons\oscar12\weap_oscar12_deadtrigger_plr_01.LN.75.44100.all,
weap_lima86_dryfire_plr,,weapons\oscar12\weap_oscar12_deadtrigger_plr_02.LN.75.44100.all,
weap_lima86_dryfire_plr,,weapons\oscar12\weap_oscar12_deadtrigger_plr_03.LN.75.44100.all,
weap_lima86_dryfire_plr,,weapons\oscar12\weap_oscar12_deadtrigger_plr_04.LN.75.44100.all,
weap_lima86_dryfire_plr,,weapons\oscar12\weap_oscar12_deadtrigger_plr_05.LN.75.44100.all,
weap_lima86_dryfire_plr,,weapons\oscar12\weap_oscar12_deadtrigger_plr_06.LN.75.44100.all,
weap_lima86_dryfire_plr,,weapons\oscar12\weap_oscar12_deadtrigger_plr_ads_01.LN.75.44100.all,
weap_lima86_dryfire_plr,,weapons\oscar12\weap_oscar12_deadtrigger_plr_ads_02.LN.75.44100.all,
weap_lima86_dryfire_plr,,weapons\oscar12\weap_oscar12_deadtrigger_plr_ads_03.LN.75.44100.all,
weap_lima86_dryfire_plr,,weapons\oscar12\weap_oscar12_deadtrigger_plr_ads_04.LN.75.44100.all,
weap_lima86_dryfire_plr,,weapons\oscar12\weap_oscar12_deadtrigger_plr_ads_05.LN.75.44100.all,
weap_lima86_dryfire_plr,,weapons\oscar12\weap_oscar12_deadtrigger_plr_ads_06.LN.75.44100.all,
weap_lima86_fire_last_fire_plr,weap_lima86_fire_last_plr_mech,weapons\iw8_lima86\weap_l86_fire_plr_01.HN.85.48000.all,
weap_lima86_fire_last_fire_plr,weap_lima86_fire_last_plr_mech,weapons\iw8_lima86\weap_l86_fire_plr_02.HN.85.48000.all,
weap_lima86_fire_last_fire_plr,weap_lima86_fire_last_plr_mech,weapons\iw8_lima86\weap_l86_fire_plr_03.HN.85.48000.all,
weap_lima86_fire_last_fire_plr,weap_lima86_fire_last_plr_mech,weapons\iw8_lima86\weap_l86_fire_plr_04.HN.85.48000.all,
weap_lima86_fire_last_fire_plr,weap_lima86_fire_last_plr_mech,weapons\iw8_lima86\weap_l86_fire_plr_05.HN.85.48000.all,
weap_lima86_fire_last_fire_plr,weap_lima86_fire_last_plr_mech,weapons\iw8_lima86\weap_l86_fire_plr_06.HN.85.48000.all,
weap_lima86_fire_last_plr,weap_lima86_fire_last_fire_plr,weapons\iw8_lima86\weap_lima86_fire_first_plr_01.LN.85.44100.all,
weap_lima86_fire_last_plr,weap_lima86_fire_last_fire_plr,weapons\iw8_lima86\weap_lima86_fire_first_plr_02.LN.85.44100.all,
weap_lima86_fire_last_plr,weap_lima86_fire_last_fire_plr,weapons\iw8_lima86\weap_lima86_fire_first_plr_03.LN.85.44100.all,
weap_lima86_fire_last_plr,weap_lima86_fire_last_fire_plr,weapons\iw8_lima86\weap_lima86_fire_first_plr_04.LN.85.44100.all,
weap_lima86_fire_last_plr,weap_lima86_fire_last_fire_plr,weapons\iw8_lima86\weap_lima86_fire_first_plr_05.LN.85.44100.all,
weap_lima86_fire_last_plr,weap_lima86_fire_last_fire_plr,weapons\iw8_lima86\weap_lima86_fire_first_plr_06.LN.85.44100.all,
weap_lima86_fire_last_plr,weap_lima86_fire_last_fire_plr,weapons\iw8_lima86\weap_lima86_fire_first_plr_ads_01.LN.85.44100.all,
weap_lima86_fire_last_plr,weap_lima86_fire_last_fire_plr,weapons\iw8_lima86\weap_lima86_fire_first_plr_ads_02.LN.85.44100.all,
weap_lima86_fire_last_plr,weap_lima86_fire_last_fire_plr,weapons\iw8_lima86\weap_lima86_fire_first_plr_ads_03.LN.85.44100.all,
weap_lima86_fire_last_plr,weap_lima86_fire_last_fire_plr,weapons\iw8_lima86\weap_lima86_fire_first_plr_ads_04.LN.85.44100.all,
weap_lima86_fire_last_plr,weap_lima86_fire_last_fire_plr,weapons\iw8_lima86\weap_lima86_fire_first_plr_ads_05.LN.85.44100.all,
weap_lima86_fire_last_plr,weap_lima86_fire_last_fire_plr,weapons\iw8_lima86\weap_lima86_fire_first_plr_ads_06.LN.85.44100.all,
weap_lima86_fire_last_plr_mech,weap_lima86_fire_plr_lfe,weapons\mgolf34\weap_mgolf34_fire_plr_mech_01.HN.85.48000.all,
weap_lima86_fire_last_plr_mech,weap_lima86_fire_plr_lfe,weapons\mgolf34\weap_mgolf34_fire_plr_mech_02.HN.85.48000.all,
