Name,Secondary,FileSpec,
mount_enter_side_mike1911_vestlight_plr,,foley\mount\mount_enter_side_mike1911_vestlight_plr.LN.75.44100.all,
mount_enter_top_mike1911_vestlight_plr,,foley\mount\mount_enter_top_mike1911_vestlight_plr.LN.75.44100.all,
mount_exit_side_mike1911_vestlight_plr,,foley\mount\mount_exit_side_mike1911_vestlight_plr.LN.75.44100.all,
mount_exit_top_mike1911_vestlight_plr,,foley\mount\mount_exit_top_mike1911_vestlight_plr.LN.75.44100.all,
weap_mike1911_disconnector_plr,,weapons\iw8_mike1911\weap_mike1911_disconnector_plr_01.LN.85.44100.all,
weap_mike1911_disconnector_plr,,weapons\iw8_mike1911\weap_mike1911_disconnector_plr_02.LN.85.44100.all,
weap_mike1911_disconnector_plr,,weapons\iw8_mike1911\weap_mike1911_disconnector_plr_03.LN.85.44100.all,
weap_mike1911_disconnector_plr,,weapons\iw8_mike1911\weap_mike1911_disconnector_plr_04.LN.85.44100.all,
weap_mike1911_disconnector_plr,,weapons\iw8_mike1911\weap_mike1911_disconnector_plr_05.LN.85.44100.all,
weap_mike1911_disconnector_plr,,weapons\iw8_mike1911\weap_mike1911_disconnector_plr_06.LN.85.44100.all,
weap_mike1911_disconnector_plr,,weapons\iw8_mike1911\weap_mike1911_disconnector_plr_ads_01.LN.85.44100.all,
weap_mike1911_disconnector_plr,,weapons\iw8_mike1911\weap_mike1911_disconnector_plr_ads_02.LN.85.44100.all,
weap_mike1911_disconnector_plr,,weapons\iw8_mike1911\weap_mike1911_disconnector_plr_ads_03.LN.85.44100.all,
weap_mike1911_disconnector_plr,,weapons\iw8_mike1911\weap_mike1911_disconnector_plr_ads_04.LN.85.44100.all,
weap_mike1911_disconnector_plr,,weapons\iw8_mike1911\weap_mike1911_disconnector_plr_ads_05.LN.85.44100.all,
weap_mike1911_disconnector_plr,,weapons\iw8_mike1911\weap_mike1911_disconnector_plr_ads_06.LN.85.44100.all,
weap_mike1911_disconnector1_plr,,weapons\iw8_mike1911\weap_mike1911_disconnector_plr_01.LN.85.44100.all,
weap_mike1911_disconnector1_plr,,weapons\iw8_mike1911\weap_mike1911_disconnector_plr_02.LN.85.44100.all,
weap_mike1911_disconnector1_plr,,weapons\iw8_mike1911\weap_mike1911_disconnector_plr_03.LN.85.44100.all,
weap_mike1911_disconnector1_plr,,weapons\iw8_mike1911\weap_mike1911_disconnector_plr_04.LN.85.44100.all,
weap_mike1911_disconnector1_plr,,weapons\iw8_mike1911\weap_mike1911_disconnector_plr_05.LN.85.44100.all,
weap_mike1911_disconnector1_plr,,weapons\iw8_mike1911\weap_mike1911_disconnector_plr_06.LN.85.44100.all,
weap_mike1911_disconnector2_plr,,weapons\iw8_mike1911\weap_mike1911_disconnector_plr_01.LN.85.44100.all,
weap_mike1911_disconnector2_plr,,weapons\iw8_mike1911\weap_mike1911_disconnector_plr_02.LN.85.44100.all,
weap_mike1911_disconnector2_plr,,weapons\iw8_mike1911\weap_mike1911_disconnector_plr_03.LN.85.44100.all,
weap_mike1911_disconnector2_plr,,weapons\iw8_mike1911\weap_mike1911_disconnector_plr_04.LN.85.44100.all,
weap_mike1911_disconnector2_plr,,weapons\iw8_mike1911\weap_mike1911_disconnector_plr_05.LN.85.44100.all,
weap_mike1911_disconnector2_plr,,weapons\iw8_mike1911\weap_mike1911_disconnector_plr_06.LN.85.44100.all,
weap_mike1911_dryfire_plr,,weapons\iw8_mike1911\weap_mike1911_dead_trigger_01.LN.75.44100.all,
weap_mike1911_dryfire_plr,,weapons\iw8_mike1911\weap_mike1911_dead_trigger_02.LN.75.44100.all,
weap_mike1911_dryfire_plr,,weapons\iw8_mike1911\weap_mike1911_dead_trigger_03.LN.75.44100.all,
weap_mike1911_dryfire_plr,,weapons\iw8_mike1911\weap_mike1911_dead_trigger_04.LN.75.44100.all,
weap_mike1911_dryfire_plr,,weapons\iw8_mike1911\weap_mike1911_dead_trigger_05.LN.75.44100.all,
weap_mike1911_dryfire_plr,,weapons\iw8_mike1911\weap_mike1911_dead_trigger_06.LN.75.44100.all,
weap_mike1911_dryfire_plr,,weapons\iw8_mike1911\weap_mike1911_dead_trigger_01.LN.75.44100.all,
weap_mike1911_dryfire_plr,,weapons\iw8_mike1911\weap_mike1911_dead_trigger_02.LN.75.44100.all,
weap_mike1911_dryfire_plr,,weapons\iw8_mike1911\weap_mike1911_dead_trigger_03.LN.75.44100.all,
weap_mike1911_dryfire_plr,,weapons\iw8_mike1911\weap_mike1911_dead_trigger_04.LN.75.44100.all,
weap_mike1911_dryfire_plr,,weapons\iw8_mike1911\weap_mike1911_dead_trigger_05.LN.75.44100.all,
weap_mike1911_dryfire_plr,,weapons\iw8_mike1911\weap_mike1911_dead_trigger_06.LN.75.44100.all,
weap_mike1911_dryfire1_plr,,weapons\iw8_mike1911\weap_mike1911_dead_trigger_01.LN.75.44100.all,
weap_mike1911_dryfire1_plr,,weapons\iw8_mike1911\weap_mike1911_dead_trigger_02.LN.75.44100.all,
weap_mike1911_dryfire1_plr,,weapons\iw8_mike1911\weap_mike1911_dead_trigger_03.LN.75.44100.all,
weap_mike1911_dryfire1_plr,,weapons\iw8_mike1911\weap_mike1911_dead_trigger_04.LN.75.44100.all,
weap_mike1911_dryfire1_plr,,weapons\iw8_mike1911\weap_mike1911_dead_trigger_05.LN.75.44100.all,
