Name,Secondary,FileSpec,
weap_alpha50_dryfire_npc,,weapons\weap_dryfire_rifle.LN.75.36000.all,
weap_alpha50_dryfirst_npc,,weapons\weap_dryfire_rifle.LN.75.36000.all,
weap_alpha50_fire_npc,weap_alpha50_fire_npc_mech,weapons\iw8_alpha50\weap_alpha50_fire_npc_01.LN.85.48000.all,
weap_alpha50_fire_npc,weap_alpha50_fire_npc_mech,weapons\iw8_alpha50\weap_alpha50_fire_npc_02.LN.85.48000.all,
weap_alpha50_fire_npc,weap_alpha50_fire_npc_mech,weapons\iw8_alpha50\weap_alpha50_fire_npc_03.LN.85.48000.all,
weap_alpha50_fire_npc,weap_alpha50_fire_npc_mech,weapons\iw8_alpha50\weap_alpha50_fire_npc_04.LN.85.48000.all,
weap_alpha50_fire_npc,weap_alpha50_fire_npc_mech,weapons\iw8_alpha50\weap_alpha50_fire_npc_05.LN.85.48000.all,
weap_alpha50_fire_npc,weap_alpha50_fire_npc_mech,weapons\iw8_alpha50\weap_alpha50_fire_npc_06.LN.85.48000.all,
weap_alpha50_fire_npc_atmo,,weapons\atmo_npc\exterior\sniper\weap_sniper_fire_npc_cls_ext1_atmo_01.LN.85.44100.all,
weap_alpha50_fire_npc_atmo,,weapons\atmo_npc\exterior\sniper\weap_sniper_fire_npc_cls_ext1_atmo_02.LN.85.44100.all,
weap_alpha50_fire_npc_atmo,,weapons\atmo_npc\exterior\sniper\weap_sniper_fire_npc_cls_ext1_atmo_03.LN.85.44100.all,
weap_alpha50_fire_npc_atmo,,weapons\atmo_npc\exterior\sniper\weap_sniper_fire_npc_cls_ext1_atmo_04.LN.85.44100.all,
weap_alpha50_fire_npc_atmo,,weapons\atmo_npc\exterior\sniper\weap_sniper_fire_npc_cls_ext1_atmo_05.LN.85.44100.all,
weap_alpha50_fire_npc_atmo,,weapons\atmo_npc\exterior\sniper\weap_sniper_fire_npc_cls_ext1_atmo_06.LN.85.44100.all,
weap_alpha50_fire_npc_atmo,,weapons\atmo_npc\interior\sniper\weap_sniper_fire_npc_cls_int1_atmo_01.LN.85.44100.all,
weap_alpha50_fire_npc_atmo,,weapons\atmo_npc\interior\sniper\weap_sniper_fire_npc_cls_int1_atmo_02.LN.85.44100.all,
weap_alpha50_fire_npc_atmo,,weapons\atmo_npc\interior\sniper\weap_sniper_fire_npc_cls_int1_atmo_03.LN.85.44100.all,
weap_alpha50_fire_npc_atmo,,weapons\atmo_npc\interior\sniper\weap_sniper_fire_npc_cls_int1_atmo_04.LN.85.44100.all,
weap_alpha50_fire_npc_atmo,,weapons\atmo_npc\interior\sniper\weap_sniper_fire_npc_cls_int1_atmo_05.LN.85.44100.all,
weap_alpha50_fire_npc_atmo,,weapons\atmo_npc\interior\sniper\weap_sniper_fire_npc_cls_int1_atmo_06.LN.85.44100.all,
weap_alpha50_fire_npc_dist,weap_alpha50_fire_npc_dist_atmo,weapons\iw8_alpha50\weap_alpha50_fire_npc_dist_01.LN.75.44100.all,
weap_alpha50_fire_npc_dist,weap_alpha50_fire_npc_dist_atmo,weapons\iw8_alpha50\weap_alpha50_fire_npc_dist_02.LN.75.44100.all,
weap_alpha50_fire_npc_dist,weap_alpha50_fire_npc_dist_atmo,weapons\iw8_alpha50\weap_alpha50_fire_npc_dist_03.LN.75.44100.all,
weap_alpha50_fire_npc_dist,weap_alpha50_fire_npc_dist_atmo,weapons\iw8_alpha50\weap_alpha50_fire_npc_dist_04.LN.75.44100.all,
weap_alpha50_fire_npc_dist,weap_alpha50_fire_npc_dist_atmo,weapons\iw8_alpha50\weap_alpha50_fire_npc_dist_05.LN.75.44100.all,
weap_alpha50_fire_npc_dist,weap_alpha50_fire_npc_dist_atmo,weapons\iw8_alpha50\weap_alpha50_fire_npc_dist_06.LN.75.44100.all,
weap_alpha50_fire_npc_far,weap_alpha50_fire_npc_far_atmo,weapons\iw8_alpha50\weap_alpha50_fire_npc_far_01.LN.75.44100.all,
weap_alpha50_fire_npc_far,weap_alpha50_fire_npc_far_atmo,weapons\iw8_alpha50\weap_alpha50_fire_npc_far_02.LN.75.44100.all,
weap_alpha50_fire_npc_far,weap_alpha50_fire_npc_far_atmo,weapons\iw8_alpha50\weap_alpha50_fire_npc_far_03.LN.75.44100.all,
weap_alpha50_fire_npc_far,weap_alpha50_fire_npc_far_atmo,weapons\iw8_alpha50\weap_alpha50_fire_npc_far_04.LN.75.44100.all,
weap_alpha50_fire_npc_far,weap_alpha50_fire_npc_far_atmo,weapons\iw8_alpha50\weap_alpha50_fire_npc_far_05.LN.75.44100.all,
weap_alpha50_fire_npc_far,weap_alpha50_fire_npc_far_atmo,weapons\iw8_alpha50\weap_alpha50_fire_npc_far_06.LN.75.44100.all,
weap_alpha50_fire_npc_lfe,,weapons\sniper\weap_sniper_fire_plr_lfe.LN.100.48000.all,
weap_alpha50_fire_npc_mech,weap_alpha50_fire_npc_lfe,weapons\iw8_alpha50\weap_ax50_fire_npc_mech_10b2a.LN.85.48000.all,
weap_alpha50_fire_npc_mech,weap_alpha50_fire_npc_lfe,weapons\iw8_alpha50\weap_ax50_fire_npc_mech_10b2b.LN.85.48000.all,
weap_alpha50_fire_npc_mech,weap_alpha50_fire_npc_lfe,weapons\iw8_alpha50\weap_ax50_fire_npc_mech_10b2c.LN.85.48000.all,
weap_alpha50_fire_npc_med,weap_alpha50_fire_npc_med_atmo,weapons\iw8_alpha50\weap_alpha50_fire_npc_med_01.LN.75.44100.all,
weap_alpha50_fire_npc_med,weap_alpha50_fire_npc_med_atmo,weapons\iw8_alpha50\weap_alpha50_fire_npc_med_02.LN.75.44100.all,
weap_alpha50_fire_npc_med,weap_alpha50_fire_npc_med_atmo,weapons\iw8_alpha50\weap_alpha50_fire_npc_med_03.LN.75.44100.all,
weap_alpha50_fire_npc_med,weap_alpha50_fire_npc_med_atmo,weapons\iw8_alpha50\weap_alpha50_fire_npc_med_04.LN.75.44100.all,
weap_alpha50_fire_npc_med,weap_alpha50_fire_npc_med_atmo,weapons\iw8_alpha50\weap_alpha50_fire_npc_med_05.LN.75.44100.all,
weap_alpha50_fire_npc_med,weap_alpha50_fire_npc_med_atmo,weapons\iw8_alpha50\weap_alpha50_fire_npc_med_06.LN.75.44100.all,
weap_alpha50_fire_npc_med_atmo,,weapons\atmo_npc\exterior\sniper\weap_sniper_fire_npc_med_ext1_atmo_01.LN.85.44100.all,
weap_alpha50_fire_npc_med_atmo,,weapons\atmo_npc\exterior\sniper\weap_sniper_fire_npc_med_ext1_atmo_02.LN.85.44100.all,
weap_alpha50_fire_npc_med_atmo,,weapons\atmo_npc\exterior\sniper\weap_sniper_fire_npc_med_ext1_atmo_03.LN.85.44100.all,
weap_alpha50_fire_npc_med_atmo,,weapons\atmo_npc\exterior\sniper\weap_sniper_fire_npc_med_ext1_atmo_04.LN.85.44100.all,
weap_alpha50_fire_npc_med_atmo,,weapons\atmo_npc\exterior\sniper\weap_sniper_fire_npc_med_ext1_atmo_05.LN.85.44100.all,
weap_alpha50_fire_npc_med_atmo,,weapons\atmo_npc\exterior\sniper\weap_sniper_fire_npc_med_ext1_atmo_06.LN.85.44100.all,
weap_alpha50_fire_npc_med_atmo,,weapons\atmo_npc\interior\sniper\weap_sniper_fire_npc_med_int1_atmo_01.LN.85.44100.all,
weap_alpha50_fire_npc_med_atmo,,weapons\atmo_npc\interior\sniper\weap_sniper_fire_npc_med_int1_atmo_02.LN.85.44100.all,
weap_alpha50_fire_npc_med_atmo,,weapons\atmo_npc\interior\sniper\weap_sniper_fire_npc_med_int1_atmo_03.LN.85.44100.all,
weap_alpha50_fire_npc_med_atmo,,weapons\atmo_npc\interior\sniper\weap_sniper_fire_npc_med_int1_atmo_04.LN.85.44100.all,
weap_alpha50_fire_npc_med_atmo,,weapons\atmo_npc\interior\sniper\weap_sniper_fire_npc_med_int1_atmo_05.LN.85.44100.all,
weap_alpha50_fire_npc_med_atmo,,weapons\atmo_npc\interior\sniper\weap_sniper_fire_npc_med_int1_atmo_06.LN.85.44100.all,
wfoly_npc_sn_alpha50_reload_01,,reloads\iw8_alpha50\wfoly_sn_alpha50_reload_raise.LN.75.44100.all,
wfoly_npc_sn_alpha50_reload_02,,reloads\iw8_alpha50\wfoly_sn_alpha50_reload_magout_01.LN.75.44100.all,
wfoly_npc_sn_alpha50_reload_03,,reloads\iw8_alpha50\wfoly_sn_alpha50_reload_arm.LN.75.44100.all,
wfoly_npc_sn_alpha50_reload_04,,reloads\iw8_alpha50\wfoly_sn_alpha50_reload_maghit.LN.75.44100.all,
wfoly_npc_sn_alpha50_reload_05,,reloads\iw8_alpha50\wfoly_sn_alpha50_reload_magin_01.LN.75.44100.all,
wfoly_npc_sn_alpha50_reload_06,,reloads\iw8_alpha50\wfoly_sn_alpha50_reload_end.LN.75.44100.all,
wfoly_npc_sn_alpha50_reload_empty_01,,reloads\iw8_alpha50\wfoly_sn_alpha50_reload_empty_boltopen_01.LN.75.44100.all,
wfoly_npc_sn_alpha50_reload_empty_02,,reloads\iw8_alpha50\wfoly_sn_alpha50_reload_empty_arm.LN.75.44100.all,
wfoly_npc_sn_alpha50_reload_empty_03,,reloads\iw8_alpha50\wfoly_sn_alpha50_reload_empty_magout_01.LN.75.44100.all,
wfoly_npc_sn_alpha50_reload_empty_04,,reloads\iw8_alpha50\wfoly_sn_alpha50_reload_empty_maggrab.LN.75.44100.all,
wfoly_npc_sn_alpha50_reload_empty_05,,reloads\iw8_alpha50\wfoly_sn_alpha50_reload_empty_magin_01.LN.75.44100.all,
