32580769,acog,0,0,0,0,
19457674,comp,0,0,0,0,
30787043,barlong,0,0,0,0,
25433893,laserads,0,0,0,0,
19742804,gripvert,0,0,0,0,
30599465,holo2,0,0,0,0,
33548483,xmags,0,0,0,0,
22497200,pistolgrip03,0,0,0,0,
21922476,stockl,0,0,0,0,
20712750,silencer3,0,0,0,0,
26192334,acog2,0,0,0,0,
23560183,barshort,0,0,0,0,
24012371,laser,0,0,0,0,
30802373,gripangpro,0,0,0,0,
27172112,fastmags,0,0,0,0,
31842431,reflexmini,0,0,0,0,
21858185,pistolgrip05,0,0,0,0,
28867138,stocks,0,0,0,0,
20864761,silencer,0,0,0,0,
25878438,barmid,0,0,0,0,
23908332,holo,0,0,0,0,
27914232,lasermix,0,0,0,0,
27438438,gripcust,0,0,0,0,
19841780,smags,0,0,0,0,
28270795,pistolgrip01,0,0,0,0,
32184654,acog3,0,0,0,0,
28601020,stockfold,0,0,0,0,
21201225,linearbrake,0,0,0,0,
30861924,barcust,0,0,0,0,
30238687,laserrange,0,0,0,0,
19468415,vzscope,0,0,0,0,
23801975,gripang,0,0,0,0,
30876227,xmagslrg,0,0,0,0,
21108764,pistolgrip02,0,0,0,0,
29110833,stockno,0,0,0,0,
27353847,vzscope2,0,0,0,0,
22305470,silencer4,0,0,0,0,
23913005,barcust3,0,0,0,0,
28559837,laserbalanced,0,0,0,0,
18575776,gripvertpro,0,0,0,0,
23867816,reflex,0,0,0,0,
24852009,fastmags2,0,0,0,0,
18210275,pistolgrip04,0,0,0,0,
22750577,stockh,0,0,0,0,
18198367,silencer2,0,0,0,0,
22208028,acog4,0,0,0,0,
29499896,barcust2,0,0,0,0,
27690423,lasermix2,0,0,0,0,
19143280,gripcust2,0,0,0,0,
25444530,smags2,0,0,0,0,
21088658,vzscope3,0,0,0,0,
25973628,pistolgrip06,0,0,0,0,
27711660,stockcust,0,0,0,0,
29165508,thermal2,0,0,0,0,
