490000,10220,4,0,0,4000,0,30474,icon_mission_operator_token,LOOT_MP/MISSION,mission_000,
490001,20000,4,0,0,1000,0,30110,icon_mission_operator_token,LOOT_MP/MISSION,mission_001,
490002,20004,4,0,0,1000,0,30237,icon_mission_operator_token,LOOT_MP/MISSION,mission_002,
490003,20008,4,0,0,1000,0,30001,icon_mission_operator_token,LOOT_MP/MISSION,mission_003,
490004,20012,4,0,0,1000,0,30173,icon_mission_operator_token,LOOT_MP/MISSION,mission_004,
490005,20016,4,0,0,1000,0,30053,icon_mission_operator_token,LOOT_MP/MISSION,mission_005,
490006,20020,4,0,0,1000,0,30266,icon_mission_operator_token,LOOT_MP/MISSION,mission_006,
490007,20024,4,0,0,1000,0,30059,icon_mission_operator_token,LOOT_MP/MISSION,mission_007,
490008,20028,4,0,0,1000,0,30031,icon_mission_operator_token,LOOT_MP/MISSION,mission_008,
490009,20032,4,0,0,1000,0,30071,icon_mission_operator_token,LOOT_MP/MISSION,mission_009,
490010,20036,4,0,0,1000,0,30076,icon_mission_operator_token,LOOT_MP/MISSION,mission_010,
490011,20040,4,0,0,1000,0,30197,icon_mission_operator_token,LOOT_MP/MISSION,mission_011,
490012,20044,4,0,0,1000,0,30113,icon_mission_operator_token,LOOT_MP/MISSION,mission_012,
