27503780,acog,0,0,0,0,
30721191,comp,0,0,0,0,
24004968,barlong,0,0,0,0,
33039931,laserads,0,0,0,0,
20078988,gripvert,0,0,0,0,
23902968,holo2,0,0,0,0,
32053134,xmags,0,0,0,0,
32798831,pistolgrip03,0,0,0,0,
26870862,stockl,0,0,0,0,
26182566,silencer3,0,0,0,0,
32255513,acog2,0,0,0,0,
27402488,barshort,0,0,0,0,
26265970,laser,0,0,0,0,
30052169,gripangpro,0,0,0,0,
30338462,boltl,0,0,0,0,
22368502,reflexmini,0,0,0,0,
19065583,pistolgrip05,0,0,0,0,
19387781,stocks,0,0,0,0,
22348832,silencer,0,0,0,0,
32996244,barmid,0,0,0,0,
27991142,holo,0,0,0,0,
19298904,lasermix,0,0,0,0,
17789363,gripcust,0,0,0,0,
31472731,smags,0,0,0,0,
26576670,pistolgrip01,0,0,0,0,
19795970,acog3,0,0,0,0,
26504564,stockfold,0,0,0,0,
22759179,linearbrake,0,0,0,0,
30792155,barcust,0,0,0,0,
22709592,laserrange,0,0,0,0,
31026846,vzscope,0,0,0,0,
21833174,gripang,0,0,0,0,
31759640,xmagslrg,0,0,0,0,
27898143,pistolgrip02,0,0,0,0,
33056016,stockno,0,0,0,0,
25994830,vzscope2,0,0,0,0,
30313746,silencer4,0,0,0,0,
26009106,barcust3,0,0,0,0,
17874465,laserbalanced,0,0,0,0,
29458506,gripvertpro,0,0,0,0,
18658819,reflex,0,0,0,0,
19310943,bolttac,0,0,0,0,
28437109,pistolgrip04,0,0,0,0,
25063649,stockh,0,0,0,0,
28854532,silencer2,0,0,0,0,
27202459,acog4,0,0,0,0,
28145897,barcust2,0,0,0,0,
27470415,lasermix2,0,0,0,0,
31410322,gripcust2,0,0,0,0,
24628065,smags2,0,0,0,0,
33527445,vzscope3,0,0,0,0,
24821162,pistolgrip06,0,0,0,0,
19204844,stockcust,0,0,0,0,
22803581,thermal2,0,0,0,0,
