acog,0,0,-1,0,0,0,0,2.8,10,iw8_ar_mike4_mp,2,
drums_kilo433,0.5,-1.2,4.5,0,0,0,3,16,-86,iw8_ar_kilo433_mp,3,
bipod,0,-5,-1.8,0,0,0,-1,2.5,25.2,iw8_ar_kilo433_mp,2,
bipod_kilo121,0,5.5,5.5,0,0,0,-10,12.5,-75,iw8_lm_kilo121_mp,5,
iw8_ar_mike4_mp,-2,-3,-1.2,0,0,0,-3,1.5,22,,,
bipod,-2,-3,-1.2,0,0,0,-3,1.5,22,iw8_ar_mike4_mp,2,
iw8_ar_akilo47_mp,-1,-0.5,-1.3,0,0,0,-4,2.2,10,,,
drums_akilo47,-1,-0.5,-1.2,0,0,0,-4,2.5,19,iw8_ar_akilo47_mp,3,
bipod_akilo47,-6,-0.5,-1.3,0,0,0,-4,2.5,23,iw8_ar_akilo47_mp,4,
iw8_ar_asierra12_mp,-1,0,-1,0,0,0,-4,4.2,17,,,
bipod,-1,0,-1.3,0,0,0,-4,4.2,20,iw8_ar_asierra12_mp,2,
iw8_ar_falpha_mp,-2.5,-7,-1.2,0,0,0,0,3,5,,,
iw8_ar_mcharlie_mp,-1,-2,-1,0,0,0,-2.5,3.5,20,,,
bipod,-1,0,-1,0,0,0,-2.5,3.5,20,iw8_ar_mcharlie_mp,2,
iw8_ar_falima_mp,1,0,-1,0,0,0,-2.5,3.5,12,,,
bipodgrip,-3.5,0,-1.1,0,0,0,-4,3,16,iw8_ar_scharlie_mp,2,
iw8_ar_scharlie_mp,-1,-1,-1.1,0,0,0,-2,3,8,,,
iw8_ar_kilo433_mp,0,-5,-1.8,0,0,0,-1,2.5,7,,,
iw8_ar_tango21_mp,0,-3,-1.2,0,0,0,0,3,10,,,
iw8_sm_mpapa7_mp,0.5,-5.8,-1.5,0,0,0,-3.5,4,5.5,,,
iw8_sm_papa90_mp,0.5,-3,-1.5,0,0,0,-2,3,12,,,
iw8_sm_augolf_mp,0.5,-3,-1.5,0,0,0,-2,3,12,,,
iw8_sm_beta_mp,0,-4,-1,0,0,0,-3,3,10,,,
