0,none,LUA_MENU/DEFAULT,,reticle_default,0,,,,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,1,reticle_default,reticle_holo_default,
1,acogdef,LUA_MENU/DEFAULT,,reticle_acog_default,0,1,acog,,challenge,,1,,,
2,holodef,LUA_MENU/DEFAULT,,reticle_holo_default,0,1,holo,,challenge,,1,,,
3,hybriddef,LUA_MENU/DEFAULT,,reticle_hybrid_default,0,1,hybrid,,challenge,,1,,,
4,reflexdef,LUA_MENU/DEFAULT,,reticle_reflex_default,0,1,reflex,,challenge,,1,,,
5,thermaldef,LUA_MENU/DEFAULT,,reticle_thermal_default,0,1,thermal,,challenge,,1,,,
6,vzscopedef,LUA_MENU/DEFAULT,,reticle_vzscope_default,0,1,vzscope,,challenge,,1,,,
7,ret01,RETICLES/RET_01,,reticle_01,1,,holo,,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,1,,,
8,ret02,RETICLES/RET_02,,reticle_02,1,,reflex,,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,1,,,
9,ret03,RETICLES/RET_03,,reticle_03,2,,reflex,,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,1,,,
10,ret04,RETICLES/RET_04,,reticle_04,3,,reflex,,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,1,,,
11,ret05,RETICLES/RET_05,,reticle_05,4,,reflex,,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_SUPPLY_DROP,1,,,
12,ret06,RETICLES/RET_06,,reticle_06,5,,reflex,,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_SUPPLY_DROP,1,,,
13,ret07,RETICLES/RET_07,,reticle_07,2,,holo,,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,1,,,
14,ret08,RETICLES/RET_08,,reticle_08,6,,reflex,,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_SUPPLY_DROP,1,,,
15,ret09,RETICLES/RET_09,,reticle_09,7,,reflex,,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_SUPPLY_DROP,1,,,
16,ret10,RETICLES/RET_10,,reticle_10,8,,reflex,,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,1,,,
17,ret11,RETICLES/RET_11,,reticle_11,3,,holo,,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,1,,,
18,ret12,RETICLES/RET_12,,reticle_12,4,,holo,,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_SUPPLY_DROP,1,,,
19,ret13,RETICLES/RET_13,,reticle_13,5,,holo,,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,1,,,
20,ret14,RETICLES/RET_14,,reticle_14,1,,acog,,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_SUPPLY_DROP,1,,,
21,ret15,RETICLES/RET_15,,reticle_15,2,,acog,,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,1,,,
22,ret16,RETICLES/RET_16,,reticle_16,3,,acog,,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,1,,,
23,ret17,RETICLES/RET_17,,reticle_17,4,,acog,,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_SUPPLY_DROP,1,,,
24,ret18,RETICLES/RET_18,,reticle_18,5,,acog,,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_MISSION_TEAMS,1,,,
