0,reflex,reflex,RETICLES/RET_CAT_REFLEX,reticle_reflex_default,1,,mp_reticle_scope_reflex,,
1,reflex2,reflex,RETICLES/RET_CAT_REFLEX,reticle_reflex_default2,1,,mp_reticle_scope_reflex,,
2,reflex3,reflex,RETICLES/RET_CAT_REFLEX,reticle_reflex_default3,1,,mp_reticle_scope_reflex,,
3,reflex4,reflex,RETICLES/RET_CAT_REFLEX,reticle_reflex_default,1,,mp_reticle_scope_reflex,,
4,reflexmini,reflex,RETICLES/RET_CAT_REFLEX,reticle_reflex_default,1,,mp_reticle_scope_reflex,,
5,reflexmini2,reflex,RETICLES/RET_CAT_REFLEX,reticle_reflex_default,1,,mp_reticle_scope_reflex,,
6,reflexmini3,reflex,RETICLES/RET_CAT_REFLEX,reticle_reflex_default,1,,mp_reticle_scope_reflex,,
7,holo,holo,RETICLES/RET_CAT_HOLO,reticle_holo_default,2,,mp_reticle_scope_holo,,
8,holo2,holo,RETICLES/RET_CAT_HOLO,reticle_holo_default2,2,,mp_reticle_scope_holo,,
9,holo3,holo,RETICLES/RET_CAT_HOLO,reticle_holo_default,2,,mp_reticle_scope_holo,,
10,acog,acog,RETICLES/RET_CAT_ACOG,reticle_acog_default,3,,mp_reticle_scope_4x,,
11,acog2,acog,RETICLES/RET_CAT_ACOG,reticle_acog_default2,3,,mp_reticle_scope_4x,,
12,acog3,acog,RETICLES/RET_CAT_ACOG,reticle_acog_default,3,,mp_reticle_scope_4x,,
13,hybrid,hybrid,RETICLES/RET_CAT_HYBRID,reticle_hybrid_default,4,reticle_holo_default,mp_reticle_scope_hybrid,mp_reticle_scope_hybrid_down,
14,hybrid2,hybrid,RETICLES/RET_CAT_HYBRID,reticle_acog_default,4,reticle_reflex_default,mp_reticle_scope_hybrid,mp_reticle_scope_hybrid_down,
15,hybrid4,hybrid,RETICLES/RET_CAT_HYBRID,reticle_acog_default,4,reticle_reflex_default,mp_reticle_scope_hybrid,mp_reticle_scope_hybrid_down,
16,thermal,thermal,RETICLES/RET_CAT_THERMAL,reticle_thermal_default,5,,mp_reticle_scope_thermal,,
17,thermal2,thermal,RETICLES/RET_CAT_THERMAL,reticle_thermal_default2,5,,mp_reticle_scope_thermal,,
18,thermalvz,thermal,RETICLES/RET_CAT_THERMAL,reticle_thermal_default3,5,,mp_reticle_scope_thermal,,
19,vzscope,scope,RETICLES/RET_CAT_VZSCOPE,reticle_vzscope_default,6,,mp_reticle_scope_sniper,,
20,scope,scope,RETICLES/RET_CAT_VZSCOPE,reticle_vzscope_default,6,,mp_reticle_scope_sniper,,
21,hybrid3,hybridthermal,RETICLES/RET_CAT_THERMAL_HYBRID,reticle_thermal_default2,7,reticle_reflex_default,mp_reticle_scope_thermal,mp_reticle_scope_hybrid_down,
22,default_sniper_scope,scope,RETICLES/RET_CAT_VZSCOPE,reticle_vzscope_default,6,,mp_reticle_scope_sniper,,
23,hdrscope,scope,RETICLES/RET_CAT_VZSCOPE,reticle_hdr_default,6,,mp_reticle_scope_sniper,,
24,k98scope,scope,RETICLES/RET_CAT_VZSCOPE,reticle_k98_default,6,,mp_reticle_scope_sniper,,
25,crossscope,scope,RETICLES/RET_CAT_VZSCOPE,snp_reticle_01,6,,mp_reticle_scope_sniper,,
26,intscope,scope,RETICLES/RET_CAT_VZSCOPE,reticle_int_default,6,,mp_reticle_scope_sniper,,
27,sbetascope,scope,RETICLES/RET_CAT_VZSCOPE,snp_reticle_03,6,,mp_reticle_scope_sniper,,
28,reflex26yc,reflex,RETICLES/RET_CAT_REFLEX,reticle_14_hybrid,1,,mp_reticle_scope_reflex,,
29,acog26cross,acog,RETICLES/RET_CAT_ACOG,reticle_acog_default3,3,,mp_reticle_scope_4x,,
30,sksierra,scope,RETICLES/RET_CAT_VZSCOPE,reticle_sierra_default,6,,mp_reticle_scope_sniper,,
31,thermalanov,thermal,RETICLES/RET_CAT_THERMAL,reticle_anovember94_default,5,,mp_reticle_scope_thermal,,
32,romeo700,scope,RETICLES/RET_CAT_VZSCOPE,reticle_34,6,,mp_reticle_scope_sniper,,
33,reflex_t9,reflex_t9,RETICLES/RET_CAT_REFLEX,reticle_reflex_defaultt9,1,,mp_reticle_scope_reflex,,
34,reflex2_t9,reflex2_t9,RETICLES/RET_CAT_REFLEX,reticle_reflex_defaultt9,1,,mp_reticle_scope_reflex,,
35,reflex3_t9,reflex3_t9,RETICLES/RET_CAT_REFLEX,reticle_reflex_defaultt9,1,,mp_reticle_scope_reflex,,
36,reddot_t9,reddot_t9,RETICLES/RET_CAT_REFLEX,reticle_reflex_defaultt9,1,,mp_reticle_scope_reflex,,
37,holo_t9,holo_t9,RETICLES/RET_CAT_HOLO,reticle_holo_defaultt9,2,,mp_reticle_scope_holo,,
38,acog_t9,acog_t9,RETICLES/RET_CAT_ACOG,reticle_acog_defaultt9,3,,mp_reticle_scope_4x,,
39,scope3x_t9,scope3x_t9,RETICLES/RET_CAT_ACOG,reticle_acog2_defaultt9,3,,mp_reticle_scope_4x,,
40,scope4x_t9,scope4x_t9,RETICLES/RET_CAT_ACOG,reticle_acog3_defaultt9,3,,mp_reticle_scope_4x,,
41,elo_t9,elo_t9,RETICLES/RET_CAT_ACOG,reticle_elo_defaultt9,3,,mp_reticle_scope_4x,,
42,elo2_t9,elo2_t9,RETICLES/RET_CAT_ACOG,reticle_elo_defaultt9,3,,mp_reticle_scope_4x,,
43,elo3_t9,elo3_t9,RETICLES/RET_CAT_ACOG,reticle_elo_defaultt9,3,,mp_reticle_scope_4x,,
44,thermal_t9,thermal_t9,RETICLES/RET_CAT_THERMAL,reticle_thermal_defaultt9_east,5,,mp_reticle_scope_thermal,,
45,thermal2_t9,thermal_t9,RETICLES/RET_CAT_THERMAL,reticle_thermal_defaultt9_west,5,,mp_reticle_scope_thermal,,
46,dualzoom_t9,dualzoom_t9,RETICLES/RET_CAT_VZSCOPE,reticle_acog2_defaultt9,6,,mp_reticle_scope_sniper,,
47,vzscope_t902,scope_t9,RETICLES/RET_CAT_VZSCOPE,reticle_vzscope_defaultt901,6,,mp_reticle_scope_sniper,,
48,vzscope_t903,scope_t9,RETICLES/RET_CAT_VZSCOPE,reticle_vzscope_defaultt902,6,,mp_reticle_scope_sniper,,
49,reflex4_t9,reflex4_t9,RETICLES/RET_CAT_REFLEX,reticle_reflex_defaultt9,1,,mp_reticle_scope_reflex,,
50,rangfinder_t9,rangfinder_t9,RETICLES/RET_CAT_ACOG,reticle_rangfinder_t9,3,,mp_reticle_scope_4x,,
51,pistolreflex_t9,pistolreflex_t9,RETICLES/RET_CAT_REFLEX,reticle_reflex_defaultt9,1,,mp_reticle_scope_reflex,,
52,acog4,acog,RETICLES/RET_CAT_ACOG,reticle_acog_default,3,,mp_reticle_scope_4x,,
53,reticle_universal_t9,reticle_universal_t9,RETICLES/UNIVERSAL,reticle_reflex_defaultt9,1,,mp_reticle_scope_reflex,,
54,vzscope_t904,scope_t9,RETICLES/RET_CAT_VZSCOPE,reticle_vzscope_defaultt903,6,,mp_reticle_scope_sniper,,
